"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.5077893705831e-15,1.07224863899254,0.075,0.107,1.99007539315675e-10,"1","Slc25a37"
4.01225285412881e-08,1.07136628321454,0.153,0.203,0.0008398046448977,"1","Pak7"
1.78622015317923e-09,1.07132920718426,0.087,0.117,3.73873740261946e-05,"1","Ift88"
3.98544890608468e-12,1.06490855966436,0.077,0.108,8.34194310532584e-08,"1","Ino80"
1.78968194528497e-10,1.06450492984536,0.101,0.136,3.74598327967598e-06,"1","Zcchc9"
1.17224286768125e-09,1.06327812836576,0.112,0.149,2.45362154634363e-05,"1","Hps3"
4.69737615289325e-07,1.06028614563147,0.115,0.149,0.00983207802562087,"1","Phc3"
1.48745644778926e-15,1.06016798896316,0.104,0.148,3.1133950908677e-11,"1","Igsf11"
8.60548473535192e-10,1.05893557098146,0.316,0.357,1.80121400995651e-05,"1","Clasp1"
6.62410608805658e-255,1.05791410415591,0.637,0.626,1.38649164529112e-250,"1","Rims2"
6.94851896717673e-07,1.05690956810911,0.133,0.172,0.0145439450501976,"1","Macrod2"
1.96238010718029e-12,1.0510459646909,0.073,0.1,4.10745780233906e-08,"1","Nsun4"
4.43609829199233e-09,1.05012817183325,0.078,0.105,9.28519733496915e-05,"1","Zfp729a"
4.55408767193894e-07,1.04988393807145,0.153,0.2,0.00953216090613539,"1","Kansl1l"
1.29938722861721e-15,1.04877764516631,0.109,0.155,2.71974740821868e-11,"1","Ttc39c"
1.17572401608235e-12,1.04793507959111,0.097,0.135,2.46090793806197e-08,"1","Ddx41"
3.05559093711185e-258,1.04734028974225,0.654,0.668,6.39565739046882e-254,"1","Pex5l"
1.83461524027574e-12,1.04537239946348,0.078,0.11,3.84003315942115e-08,"1","Cenpc1"
6.57500114899187e-08,1.04517204150539,0.106,0.139,0.00137621349049549,"1","6030458C11Rik"
8.58176540680011e-12,1.04380120379785,0.292,0.303,1.79624931729733e-07,"1","Zbtb20"
2.70040757305889e-20,1.04294090297593,0.368,0.413,5.65222309116956e-16,"1","Atp8a2"
3.00868187574175e-11,1.04206715587891,0.107,0.145,6.29747203411506e-07,"1","Pkd1"
