"resolution","actual_k","method"
0.549065748063551,33,"PCA + Louvain"
0.563696234681237,33,"PCA + Louvain"
0.578716567395541,36,"PCA + Louvain"
0.594137134102851,35,"PCA + Louvain"
0.609968599496966,38,"PCA + Louvain"
0.626221912444681,38,"PCA + Louvain"
0.64290831355791,38,"PCA + Louvain"
0.660039342967559,38,"PCA + Louvain"
0.67762684830456,38,"PCA + Louvain"
0.695682992893563,38,"PCA + Louvain"
0.714220264164948,38,"PCA + Louvain"
0.733251482291006,38,"PCA + Louvain"
0.752789809052221,38,"PCA + Louvain"
0.772848756939812,39,"PCA + Louvain"
0.79344219850083,39,"PCA + Louvain"
0.814584375932246,39,"PCA + Louvain"
0.836289910930711,39,"PCA + Louvain"
0.858573814804753,39,"PCA + Louvain"
0.88145149885643,39,"PCA + Louvain"
0.904938785039623,40,"PCA + Louvain"
0.92905191690232,40,"PCA + Louvain"
0.953807570820474,40,"PCA + Louvain"
0.979222867531207,42,"PCA + Louvain"
1.00531538397332,42,"PCA + Louvain"
1.03210316544329,42,"PCA + Louvain"
1.05960473807525,42,"PCA + Louvain"
1.08783912165339,42,"PCA + Louvain"
1.11682584276589,44,"PCA + Louvain"
1.14658494830926,43,"PCA + Louvain"
1.17713701935255,43,"PCA + Louvain"
1.20850318537102,46,"PCA + Louvain"
1.24070513885903,47,"PCA + Louvain"
1.27376515033232,46,"PCA + Louvain"
1.30770608373007,48,"PCA + Louvain"
1.34255141222735,47,"PCA + Louvain"
1.37832523446889,49,"PCA + Louvain"
1.41505229123547,48,"PCA + Louvain"
1.45275798255434,48,"PCA + Louvain"
1.49146838526559,50,"PCA + Louvain"
1.53121027105666,49,"PCA + Louvain"
1.57201112497728,49,"PCA + Louvain"
1.61389916444786,51,"PCA + Louvain"
1.65690335877436,48,"PCA + Louvain"
1.70105344918309,50,"PCA + Louvain"
1.74637996938949,52,"PCA + Louvain"
1.79291426671482,50,"PCA + Louvain"
1.84068852376571,53,"PCA + Louvain"
1.88973578069124,53,"PCA + Louvain"
1.94008995803316,53,"PCA + Louvain"
1.99178588018495,55,"PCA + Louvain"
2.04485929947602,55,"PCA + Louvain"
2.09934692089758,55,"PCA + Louvain"
2.15528642748744,57,"PCA + Louvain"
2.21271650639119,58,"PCA + Louvain"
2.27167687561775,57,"PCA + Louvain"
2.33220831150799,62,"PCA + Louvain"
2.3943526769351,60,"PCA + Louvain"
2.45815295025658,61,"PCA + Louvain"
2.52365325503755,59,"PCA + Louvain"
2.59089889056612,61,"PCA + Louvain"
2.6599363631819,62,"PCA + Louvain"
2.73081341843927,63,"PCA + Louvain"
2.80357907412764,65,"PCA + Louvain"
2.87828365417167,66,"PCA + Louvain"
2.95497882343469,65,"PCA + Louvain"
3.03371762344958,64,"PCA + Louvain"
3.11455450910171,67,"PCA + Louvain"
3.19754538628932,69,"PCA + Louvain"
3.28274765058742,70,"PCA + Louvain"
3.37022022694197,71,"PCA + Louvain"
3.46002361042168,69,"PCA + Louvain"
3.55221990805576,71,"PCA + Louvain"
3.64687288178646,73,"PCA + Louvain"
3.74404799256609,72,"PCA + Louvain"
3.84381244562914,75,"PCA + Louvain"
3.94623523697062,75,"PCA + Louvain"
4.051387201063,75,"PCA + Louvain"
4.15934105984451,77,"PCA + Louvain"
4.2701714730128,78,"PCA + Louvain"
4.38395508965884,77,"PCA + Louvain"
4.50077060127652,80,"PCA + Louvain"
4.62069879618484,81,"PCA + Louvain"
4.74382261540022,83,"PCA + Louvain"
4.87022720999761,86,"PCA + Louvain"
5,88,"PCA + Louvain"
1e-05,1,"scDHA + Louvain"
1.02664614696743e-05,1,"scDHA + Louvain"
1.05400231108308e-05,1,"scDHA + Louvain"
1.08208741156821e-05,1,"scDHA + Louvain"
1.11092087176847e-05,1,"scDHA + Louvain"
1.1405226325868e-05,1,"scDHA + Louvain"
1.17091316627439e-05,1,"scDHA + Louvain"
1.20211349058904e-05,1,"scDHA + Louvain"
1.23414518333081e-05,1,"scDHA + Louvain"
1.26703039726499e-05,1,"scDHA + Louvain"
1.30079187544272e-05,1,"scDHA + Louvain"
1.33545296692981e-05,1,"scDHA + Louvain"
